餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
鰭狄日式阪前,日式料理,,名稱依原留言,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
懿品小珍,,,,poweiwan,https://www.threads.com/@poweiwan/post/Da-lie-msul,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,poweiwan 1天 懿品小珍 翻譯
AJIMI,,,最近愛上,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
ANJU,餐酒館／KTV包廂,台北市信義區信義路五段16-1號,世貿101站3號出口；店家自薦,anju.taipei,https://www.threads.com/@anju.taipei/post/DbABhVFEbCH,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,anju.taipei 1天 我們！申請！出戰！🙋🏻‍♀️ 我們是信義區剛誕生的新餐酒館ANJU🥂 超美氛圍感外場+隱藏BAR+ 3 間風格獨立 KTV 包廂（包廂不限時!!!) 還有‼️ 全台唯一為女生打造的✨夢幻法式包廂💐 三個包廂最大可容納35人、外場也可包場！ 我家！包廂！能唱歌+61寸兩台大電視！ 台北 101 最新氛圍感餐酒館 從精緻料理到微醺時刻，一站式沉浸體驗 ✧ 吃飯⮕微醺⮕唱歌⮕信義區夜晚 氛圍感滿載—慶生、聚會、包場、尾牙活動首選 生日完成秘密任務還有送生日氣球特調唷🎈 📍ANJU(信義路五段16-1號） 捷運世貿101站，3號出口10秒到 ✨ 外場午間｜週六、週日開放 ✨ 外場晚間｜週一至週日皆可預約 ✨ KTV包廂｜週一至週日午、晚皆可預約
AUFGLET Taipei,,台北,近期最愛,jennieschen,https://www.threads.com/@jennieschen/post/DbAAPTAGfFO,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jennieschen 1天 近期最愛~AUFGLET Taipei!!
Bnin Morocco Food,摩洛哥料理／香料烤餅,,店家自薦香料烤餅,bnin_morocco_food,https://www.threads.com/@bnin_morocco_food/post/DbCbEtzGfhR,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,bnin_morocco_food 6小時 當然是我們家的香料烤餅啦😋🤤
"BREAD, ESPRESSO &",早午餐／咖啡／麵包,台北,推薦鮭魚酪梨開放式三明治、法式吐司,travelholic_tl,https://www.threads.com/@travelholic_tl/post/DbAuyE8E_Kq,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,"travelholic_tl 21小時 大推 Bread, Espresso & travelholic_tl 台北早午餐咖啡廳 1天 這絕對是我近期吃過最好吃的早午餐～🤤 【非經本人同意，請勿任意轉載、擷取或複製】 「BREAD, ESPRESSO &」的鮭魚酪梨開放式三明治真的超·好·吃！ 可頌本體酥脆到不行，配上滑順的酪梨、油潤的燻鮭魚，還有上面灑滿的現刨起司，每一口都是幸福感爆棚的層次。 他們家招牌的法式吐司跟厚培根很穩、很美味，吃完鹹的再配一杯清爽的「檸檬冷萃」、「青森蘋果冷萃」，完美的週末早午餐莫過於此。 如果你也是可頌控，這道真的必點，絕對不會後悔！🥐✨ 好想再回訪～ Bread, Espresso & 麵包店 咖啡廳 早午餐"
Coast,泰式 Fine Dining,台北,偏重口味；原留言稱8月將關門，請先確認,yu_ting_fu2016,https://www.threads.com/@yu_ting_fu2016/post/Da-82jXnSsl,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,yu_ting_fu2016 1天 Coast 真的很好吃 偏重口味的泰式fine dining 第一次吃真的露出小當家裡面路人的表情！怎麼能好吃成這樣？在我心裡比很多拿星星的餐廳都令人驚艷😍 後來每季固定跑去台北吃，但是聽說8月要關門了 完全心碎💔
Flower Island Brunch,早午餐,士林,期間限定菜單；假日建議訂位,lulu80630,https://www.threads.com/@lulu80630/post/Da_yVrVE_Ta,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,lulu80630 士林美食 1天 這一家超好吃，憑實力4.9顆星的評論🌟 還會不斷推出菜單上沒有關的期間限定，不怕來過N次沒有新的選擇，假日一定要訂位，不然沒位子喔！ maps.app.goo.gl/gMWYZ… google.com Flower Island Brunch · 4.9★(1096) · Brunch restaurant
FOCOSO,義大利料理,,適合約會,atm_tseng,https://www.threads.com/@atm_tseng/post/DbARPAmFGvF,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,atm_tseng 1天 漢來湯包 FOCOSO（非常適合約會的義大利餐廳） 三味麵食（一定要吃雙醬麵） 心潮仙宮（外國朋友來都帶去吃） Wok by Obond (大中華料理Fine Dining)
